NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
M129025,M1322,6F,A130243LKR,5586,,Oncorhynchus,mykiss,219,94,,,,,,,7/15/13,,LC,44594,None,Golden trout.,M129025,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 25,,GT-LK,36.3101,-118.49799,,,,,,,,,,,,,
M129026,M1322,6G,A130246LKR,5586,,Oncorhynchus,mykiss,103,11,,,,,,,7/15/13,,LC,44594,None,Golden trout.,M129026,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 25,,GT-LK,36.3101,-118.49799,,,,,,,,,,,,,
M129027,M1322,6H,A130248LKR,5586,,Oncorhynchus,mykiss,93,9,,,,,,,7/15/13,,LC,44594,None,Golden trout.,M129027,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 25,,GT-LK,36.3101,-118.49799,,,,,,,,,,,,,
M129028,M1322,7A,A140256LKR,5586,,Oncorhynchus,mykiss,135,26.1,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129028,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129029,M1322,7B,A140257LKR,5586,,Oncorhynchus,mykiss,124,19.3,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129029,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129030,M1322,7C,A140258LKR,5586,,Oncorhynchus,mykiss,175,56.7,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129030,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129031,M1322,7D,A140259LKR,5586,,Oncorhynchus,mykiss,189,76.7,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129031,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129032,M1322,7E,A140260LKR,5586,,Oncorhynchus,mykiss,175,53.2,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129032,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129033,M1322,7F,A140262LKR,5586,,Oncorhynchus,mykiss,161,43.1,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129033,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129034,M1322,7G,A140264LKR,5586,,Oncorhynchus,mykiss,133,28,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129034,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129037,M1322,8B,A140269LKR,5586,,Oncorhynchus,mykiss,109,16.6,,,,,,,6/13/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129037,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 6),,GT-LK,36.20764,-118.5428,,,,,,,,,,,,,
M129038,M1322,8C,A140271LKR,5586,,Oncorhynchus,mykiss,97,8.5,,,,,,,6/17/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129038,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 36),,GT-LK,36.20489,-118.57469,,,,,,,,,,,,,
M129039,M1322,8D,A140275LKR,5586,,Oncorhynchus,mykiss,253,162,,,,,,,6/17/14,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129039,California,Tulare,Kern River,Little Kern River,Clicks Creek,North Fork Clicks Creek,NORTH FORK CLICKS CREEK (SECTION 36),,GT-LK,36.20489,-118.57469,,,,,,,,,,,,,
M129040,M1322,8E,A150002LKR,5586,,Oncorhynchus,mykiss,152.4,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129040,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129041,M1322,8F,A150003LKR,5586,,Oncorhynchus,mykiss,177.8,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129041,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129042,M1322,8G,A150005LKR,5586,,Oncorhynchus,mykiss,152.4,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129042,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129043,M1322,8H,A150008LKR,5586,,Oncorhynchus,mykiss,177.8,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129043,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129044,M1322,9A,A150012LKR,5586,,Oncorhynchus,mykiss,101.6,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129044,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129046,M1322,9C,A150021LKR,5586,,Oncorhynchus,mykiss,177.8,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129046,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129047,M1322,9D,A150029LKR,5586,,Oncorhynchus,mykiss,127,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129047,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129048,M1322,9E,A150030LKR,5586,,Oncorhynchus,mykiss,152.4,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129048,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129049,M1322,9F,A150033LKR,5586,,Oncorhynchus,mykiss,127,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129049,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129050,M1322,9G,A150034LKR,5586,,Oncorhynchus,mykiss,177.8,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129050,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M129051,M1322,9H,A150035LKR,5586,,Oncorhynchus,mykiss,152.4,,,,,,,,7/25/15,,LC,44594,None,Golden trout. Not sure if length is total or fork,M129051,California,Tulare,Kern River,Little Kern River,Soda Spring Creek,Deadman Creek,,,GT-LK,36.33051,-118.55653,,,,,,,,,,,,,
M133563,M1370,4F,OMY3723,0279,,Oncorhynchus,mykiss,360,,,,,,,,6/15/02,,LC,9/12/22,,,M133563,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133564,M1370,4G,OMY3724,0279,,Oncorhynchus,mykiss,385,,,,,,,,6/15/02,,LC,9/12/22,,,M133564,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133566,M1370,5A,OMY3739,0281,,Oncorhynchus,mykiss,380,,,,,,,,7/6/03,,LC,9/12/22,,,M133566,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133568,M1370,5C,OMY3741,0281,,Oncorhynchus,mykiss,330,,,,,,,,7/19/03,,LC,9/12/22,,,M133568,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133569,M1370,5D,OMY3742,0281,,Oncorhynchus,mykiss,290,,,,,,,,7/27/03,,LC,9/12/22,,,M133569,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133573,M1370,5H,OMY3746,0281,,Oncorhynchus,mykiss,375,,,,,,,,8/10/03,,LC,9/12/22,,,M133573,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133574,M1370,6A,OMY3747,0281,,Oncorhynchus,mykiss,375,,,,,,,,8/10/03,,LC,9/12/22,,,M133574,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133575,M1370,6B,OMY3748,0281,,Oncorhynchus,mykiss,360,,,,,,,,8/17/03,,LC,9/12/22,,,M133575,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133577,M1370,6D,OMY3750,0281,,Oncorhynchus,mykiss,390,,,,,,,,8/31/03,,LC,9/12/22,,,M133577,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133578,M1370,6E,OMY3751,0281,,Oncorhynchus,mykiss,400,,,,,,,,9/6/03,,LC,9/12/22,,,M133578,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133579,M1370,6F,OMY3752,0281,,Oncorhynchus,mykiss,370,,,,,,,,9/21/03,,LC,9/12/22,,,M133579,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133585,M1370,7D,OMY3933,0281,,Oncorhynchus,mykiss,,,,,,,,,5/29/04,,LC,9/12/22,,,M133585,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133586,M1370,7E,OMY3934,0281,,Oncorhynchus,mykiss,340,,,,,,,,5/30/04,,LC,9/12/22,,,M133586,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133587,M1370,7F,OMY3935,0281,,Oncorhynchus,mykiss,350,,,,,,,,6/5/04,,LC,9/12/22,,,M133587,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133588,M1370,7G,OMY3936,0281,,Oncorhynchus,mykiss,290,,,,,,,,6/26/04,,LC,9/12/22,,,M133588,California,Monterey,Salinas River,,,Nacimiento River,,,,,,,,,,,,,,,,,,
M133589,M1370,7H,1,0999,,Oncorhynchus,mykiss,685.8,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133589,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133590,M1370,8A,2,0999,,Oncorhynchus,mykiss,711.2,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133590,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133591,M1370,8B,3,0999,,Oncorhynchus,mykiss,635,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133591,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133592,M1370,8C,4,0999,,Oncorhynchus,mykiss,736.6,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133592,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133593,M1370,8D,6,0999,,Oncorhynchus,mykiss,635,,Female,,Adult,,,,2/6/04,,LC,9/12/22,,,M133593,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133594,M1370,8E,7,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/6/04,,LC,9/12/22,,,M133594,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133595,M1370,8F,8,0999,,Oncorhynchus,mykiss,685.8,,Male,,Adult,,,,2/6/04,,LC,9/12/22,,,M133595,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133597,M1370,8H,275,0999,,Oncorhynchus,mykiss,685.8,,Male,,Adult,,,,2/17/04,,LC,9/12/22,,,M133597,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133598,M1370,9A,276,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133598,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133599,M1370,9B,277,0999,,Oncorhynchus,mykiss,685.8,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133599,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133600,M1370,9C,278,0999,,Oncorhynchus,mykiss,660.4,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133600,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,,,,,,,,,,,,,,,,
M133601,M1370,9D,279,0999,,Oncorhynchus,mykiss,660.4,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133601,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,hatchery,,,,,,,,,,,,,,,
M133602,M1370,9E,280,0999,,Oncorhynchus,mykiss,635,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133602,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,wild,,,,,,,,,,,,,,,
M133603,M1370,9F,282,0999,,Oncorhynchus,mykiss,812.8,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133603,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,wild,,,,,,,,,,,,,,,
M133604,M1370,9G,283,0999,,Oncorhynchus,mykiss,711.2,,Female,,Adult,,,,2/17/04,,LC,9/12/22,,,M133604,California,Santa Cruz,San Lorenzo River,,,San Lorenzo River,,,hatchery,,,,,,,,,,,,,,,